Supply,Amount,Unit Price,Total Price,Artist Fee,Platform Fee
3285100.0,25600,16.119083,414268.932928,62140.3399392,20713.4466464
3310800.0,25700,16.20785,418171.03628,62725.655441999996,20908.551814000002
3336600.0,25800,16.296756,422094.484072,63314.1726108,21104.724203600003
3362500.0,25900,16.3858,426039.309513,63905.89642695,21301.965475650002
3388500.0,26000,16.474982,430005.545737,64500.831860549995,21500.277286850003
3414600.0,26100,16.564301,433993.225798,65098.983869699994,21699.661289900003
3440800.0,26200,16.653759,438002.382678,65700.3574017,21900.119133900003
3467100.0,26300,16.743353,442033.049279,66304.95739185,22101.652463950002
3493500.0,26400,16.833084,446085.258431,66912.78876465,22304.262921550002
3520000.0,26500,16.922951,450159.042888,67523.8564332,22507.952144400002
3546600.0,26600,17.012954,454254.435328,68138.1652992,22712.7217664
3573300.0,26700,17.103094,458371.468357,68755.72025355,22918.57341785
3600100.0,26800,17.193369,462510.174509,69376.52617634999,23125.50872545
3627000.0,26900,17.283779,466670.58624,70000.587936,23333.529312
3654000.0,27000,17.374323,470852.735939,70627.91039085,23542.63679695
3681100.0,27100,17.465003,475056.655919,71258.49838784999,23752.832795950002
3708300.0,27200,17.555817,479282.378422,71892.35676329999,23964.118921100002
3735600.0,27300,17.646765,483529.935621,72529.49034315,24176.496781050002
3763000.0,27400,17.737846,487799.359614,73169.9039421,24389.967980700003
3790500.0,27500,17.829061,492090.682432,73813.6023648,24604.5341216
3818100.0,27600,17.920409,496403.936035,74460.59040525,24820.196801750004
3845800.0,27700,18.01189,500739.152312,75110.87284679999,25036.9576156
3873600.0,27800,18.103504,505096.363085,75764.45446275,25254.818154250002
3901500.0,27900,18.195249,509475.600104,76421.3400156,25473.780005200002
3929500.0,28000,18.287127,513876.895054,77081.5342581,25693.844752700003
3957600.0,28100,18.379137,518300.279549,77745.04193235,25915.013977450002
3985800.0,28200,18.471278,522745.785138,78411.86777069999,26137.2892569
4014100.0,28300,18.56355,527213.443301,79082.01649515,26360.672165050004
4042500.0,28400,18.655953,531703.28545,79755.4928175,26585.1642725
4071000.0,28500,18.748486,536215.342933,80432.30143995,26810.76714665
4099600.0,28600,18.84115,540749.64703,81112.4470545,27037.482351500003
4128300.0,28700,18.933944,545306.228957,81795.93434354999,27265.31144785
4157100.0,28800,19.026867,549885.119862,82482.7679793,27494.2559931
4186000.0,28900,19.11992,554486.350829,83172.95262435,27724.31754145
4215000.0,29000,19.213103,559109.952879,83866.49293184999,27955.497643950002
4244100.0,29100,19.306414,563755.956967,84563.39354505,28187.797848350005
4273300.0,29200,19.399854,568424.393984,85263.65909759999,28421.2196992
4302600.0,29300,19.493422,573115.294757,85967.29421355,28655.764737850004
4332000.0,29400,19.587119,577828.690051,86674.30350765,28891.43450255
4361500.0,29500,19.680943,582564.610566,87384.69158489999,29128.230528300002
4391100.0,29600,19.774895,587323.086943,88098.46304145,29366.15434715
4420800.0,29700,19.868975,592104.149756,88815.6224634,29605.207487800002
4450600.0,29800,19.963181,596907.829522,89536.1744283,29845.391476100005
4480500.0,29900,20.057515,601734.156692,90260.1235038,30086.7078346
4510500.0,30000,20.151975,606583.161658,90987.47424869999,30329.1580829
4540600.0,30100,20.246561,611454.874751,91718.23121264999,30572.74373755
4570800.0,30200,20.341274,616349.326241,92452.39893615,30817.46631205
4601100.0,30300,20.436112,621266.546337,93189.98195054999,31063.32731685
4631500.0,30400,20.531076,626206.56519,93930.9847785,31310.328259500002
4662000.0,30500,20.626166,631169.41289,94675.4119335,31558.470644500005
4692600.0,30600,20.72138,636155.119467,95423.26792005,31807.755973350002
4723300.0,30700,20.81672,641163.714893,96174.55723394999,32058.18574465
4754100.0,30800,20.912184,646195.22908,96929.28436199999,32309.761454
4785000.0,30900,21.007772,651249.691885,97687.45378274999,32562.48459425
4816000.0,31000,21.103484,656327.133103,98449.06996544999,32816.356655150004
4847100.0,31100,21.199321,661427.582472,99214.1373708,33071.3791236
4878300.0,31200,21.295281,666551.069674,99982.6604511,33327.5534837
4909600.0,31300,21.391364,671697.624332,100754.6436498,33584.881216600006
4941000.0,31400,21.487571,676867.276014,101530.09140209999,33843.3638007
4972500.0,31500,21.583901,682060.05423,102309.00813449999,34103.002711500005
5004100.0,31600,21.680353,687275.988434,103091.39826510001,34363.7994217
5035800.0,31700,21.776928,692515.108023,103877.26620345,34625.755401149996
5067600.0,31800,21.873625,697777.44234,104666.61635099999,34888.872117
5099500.0,31900,21.970444,703063.020671,105459.45310065,35153.15103355
5131500.0,32000,22.067385,708371.872248,106255.7808372,35418.5936124
5163600.0,32100,22.164447,713704.026247,107055.60393705,35685.20131235
5195800.0,32200,22.261631,719059.511789,107858.92676835,35952.975589450005
5228100.0,32300,22.358936,724438.357943,108665.75369145001,36221.91789715
5260500.0,32400,22.456362,729840.593721,109476.08905815,36492.02968605
5293000.0,32500,22.553908,735266.248082,110289.93721229999,36763.3124041
5325600.0,32600,22.651575,740715.349933,111107.30248995,37035.767496650005
5358300.0,32700,22.749362,746187.928125,111928.18921874999,37309.39640625
5391100.0,32800,22.847269,751684.011459,112752.60171884998,37584.20057295
5424000.0,32900,22.945296,757203.62868,113580.544302,37860.181434
5457000.0,33000,23.043442,762746.808482,114412.0212723,38137.3404241
5490100.0,33100,23.141708,768313.579508,115247.0369262,38415.678975400006
5523300.0,33200,23.240093,773903.970346,116085.5955519,38695.19851730001
5556600.0,33300,23.338597,779518.009535,116927.70143024999,38975.90047675
5590000.0,33400,23.437219,785155.725561,117773.35883415,39257.78627805001
5623500.0,33500,23.53596,790817.146858,118622.57202869999,39540.8573429
5657100.0,33600,23.634819,796502.301812,119475.34527179999,39825.115090600004
5690800.0,33700,23.733796,802211.218754,120331.6828131,40110.56093770001
5724600.0,33800,23.832891,807943.925967,121191.58889505,40397.19629835
5758500.0,33900,23.932104,813700.451683,122055.06775244999,40685.02258415
5792500.0,34000,24.031434,819480.824086,122922.12361289999,40974.0412043
5826600.0,34100,24.130882,825285.071306,123792.7606959,41264.2535653
5860800.0,34200,24.230446,831113.221427,124666.98321405,41555.661071350005
5895100.0,34300,24.330127,836965.302481,125544.79537215,41848.26512405
5929500.0,34400,24.429925,842841.342453,126426.20136795,42142.067122650005
5964000.0,34500,24.529839,848741.369278,127311.20539169999,42437.0684639
5998600.0,34600,24.629869,854665.410843,128199.81162645,42733.27054215001
6033300.0,34700,24.730016,860613.494985,129092.02424775,43030.67474925
6068100.0,34800,24.830278,866585.649494,129987.8474241,43329.282474700005
6103000.0,34900,24.930655,872581.902112,130887.2853168,43629.095105600005
6138000.0,35000,25.031148,878602.280533,131790.34207995,43930.11402665
6173100.0,35100,25.131757,884646.812404,132697.02186059998,44232.340620200004
6208300.0,35200,25.23248,890715.525322,133607.3287983,44535.7762661
6243600.0,35300,25.333318,896808.44684,134521.267026,44840.422342000005
6279000.0,35400,25.434271,902925.604462,135438.8406693,45146.2802231
6314500.0,35500,25.535338,909067.025648,136360.05384719998,45453.3512824
6350100.0,35600,25.636519,915232.737808,137284.9106712,45761.6368904
6385800.0,35700,25.737815,921422.768308,138213.4152462,46071.138415400004
6421600.0,35800,25.839224,927637.144466,139145.5716699,46381.8572233
6457500.0,35900,25.940747,933875.893557,140081.38403354998,46693.794677850005
6493500.0,36000,26.042383,940139.042808,141020.8564212,47006.952140400004
6529600.0,36100,26.144132,946426.6194,141963.99291,47321.33097
6565800.0,36200,26.245995,952738.650472,142910.7975708,47636.9325236
